14/100 - 0/569 |  Loss train-val = 2.8417 - 2.5433 | Acc train - val = 0.2589 - 0.3031
14/100 - 200/569 |  Loss train-val = 2.5559 - 2.5821 | Acc train - val = 0.3190 - 0.3007
14/100 - 400/569 |  Loss train-val = 1.9219 - 2.5938 | Acc train - val = 0.4219 - 0.3019
15/100 - 0/569 |  Loss train-val = 2.9363 - 2.5204 | Acc train - val = 0.3328 - 0.3097
15/100 - 200/569 |  Loss train-val = 2.2957 - 2.5905 | Acc train - val = 0.3108 - 0.2977
15/100 - 400/569 |  Loss train-val = 3.6790 - 2.5564 | Acc train - val = 0.1900 - 0.3020
16/100 - 0/569 |  Loss train-val = 2.5035 - 2.5446 | Acc train - val = 0.2731 - 0.3036
16/100 - 200/569 |  Loss train-val = 2.1502 - 2.5418 | Acc train - val = 0.3353 - 0.3053
16/100 - 400/569 |  Loss train-val = 2.5341 - 2.5533 | Acc train - val = 0.2678 - 0.3027
17/100 - 0/569 |  Loss train-val = 2.8043 - 2.5306 | Acc train - val = 0.3152 - 0.3096
17/100 - 200/569 |  Loss train-val = 2.6009 - 2.6004 | Acc train - val = 0.2731 - 0.2956
17/100 - 400/569 |  Loss train-val = 3.0065 - 2.6099 | Acc train - val = 0.2454 - 0.3018
18/100 - 0/569 |  Loss train-val = 1.7804 - 2.4873 | Acc train - val = 0.3935 - 0.3080
18/100 - 200/569 |  Loss train-val = 2.7826 - 2.5201 | Acc train - val = 0.3192 - 0.3092
18/100 - 400/569 |  Loss train-val = 2.8814 - 2.5330 | Acc train - val = 0.2858 - 0.3071
19/100 - 0/569 |  Loss train-val = 3.1694 - 2.5263 | Acc train - val = 0.1851 - 0.3042
19/100 - 200/569 |  Loss train-val = 1.9766 - 2.5532 | Acc train - val = 0.2695 - 0.3024
0/100 - 0/569 |  Loss train-val = 2.1398 - 2.3720 | Acc train - val = 0.2935 - 0.3241
0/100 - 200/569 |  Loss train-val = 2.5911 - 2.4192 | Acc train - val = 0.3356 - 0.3145
0/100 - 400/569 |  Loss train-val = 2.2987 - 2.4715 | Acc train - val = 0.3473 - 0.3122
1/100 - 0/569 |  Loss train-val = 2.5614 - 2.4346 | Acc train - val = 0.3057 - 0.3161
1/100 - 200/569 |  Loss train-val = 2.4619 - 2.4145 | Acc train - val = 0.3237 - 0.3185
1/100 - 400/569 |  Loss train-val = 2.3622 - 2.4015 | Acc train - val = 0.3622 - 0.3175
2/100 - 0/569 |  Loss train-val = 1.6955 - 2.4221 | Acc train - val = 0.4338 - 0.3120
2/100 - 200/569 |  Loss train-val = 1.8895 - 2.4251 | Acc train - val = 0.3913 - 0.3186
2/100 - 400/569 |  Loss train-val = 3.3146 - 2.5247 | Acc train - val = 0.2621 - 0.3068
3/100 - 0/569 |  Loss train-val = 2.3123 - 2.5215 | Acc train - val = 0.2832 - 0.3042
3/100 - 200/569 |  Loss train-val = 2.3869 - 2.4127 | Acc train - val = 0.3203 - 0.3216
3/100 - 400/569 |  Loss train-val = 2.7045 - 2.3247 | Acc train - val = 0.3232 - 0.3269
4/100 - 0/569 |  Loss train-val = 2.9480 - 2.4023 | Acc train - val = 0.2800 - 0.3188
4/100 - 200/569 |  Loss train-val = 2.1974 - 2.3215 | Acc train - val = 0.3248 - 0.3267
4/100 - 400/569 |  Loss train-val = 2.0201 - 2.2401 | Acc train - val = 0.2711 - 0.3296
5/100 - 0/569 |  Loss train-val = 2.9336 - 2.4037 | Acc train - val = 0.2901 - 0.3172
5/100 - 200/569 |  Loss train-val = 1.8680 - 2.3584 | Acc train - val = 0.4297 - 0.3212
5/100 - 400/569 |  Loss train-val = 2.6572 - 2.2975 | Acc train - val = 0.2359 - 0.3297
6/100 - 0/569 |  Loss train-val = 1.5172 - 2.4488 | Acc train - val = 0.4395 - 0.3124
6/100 - 200/569 |  Loss train-val = 2.6549 - 2.3692 | Acc train - val = 0.2533 - 0.3169
6/100 - 400/569 |  Loss train-val = 2.2188 - 2.2939 | Acc train - val = 0.3464 - 0.3284
7/100 - 0/569 |  Loss train-val = 2.8276 - 2.3884 | Acc train - val = 0.2439 - 0.3167
7/100 - 200/569 |  Loss train-val = 1.4524 - 2.4712 | Acc train - val = 0.3831 - 0.3079
7/100 - 400/569 |  Loss train-val = 1.8284 - 2.3810 | Acc train - val = 0.3812 - 0.3221
8/100 - 0/569 |  Loss train-val = 2.6676 - 2.4326 | Acc train - val = 0.2833 - 0.3116
8/100 - 200/569 |  Loss train-val = 2.1804 - 2.3516 | Acc train - val = 0.2828 - 0.3205
8/100 - 400/569 |  Loss train-val = 2.3028 - 2.4278 | Acc train - val = 0.3056 - 0.3147
